------------------------Top 50 Bigrams for Language: gl------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        st         110         39      0.007773302240124373       0.002720674905295308
        iz         109         40      0.007702635856123242      0.0026959639615596557
        ma         107         41      0.007561303088120981      0.0026465420740883513
        or         106         42       0.00749063670411985       0.002621831130352699
        ur         105         43      0.007419970320118719       0.002597120186617047
        as         102         44      0.007207971168115328      0.0025229873554100902
        oo         102         45      0.007207971168115328      0.0025229873554100902
        gu          99         46      0.006995972016111935      0.0024488545242031335
        ti          99         47      0.006995972016111935      0.0024488545242031335
        de          94         48      0.006642640096106283       0.002325299805524873
        tx          93         49      0.006571973712105152      0.0023005888617892204
        nd          91         50       0.00643064094410289       0.002251166974317916
------------------------Top 50 Bigrams for Language: ca------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        es        2164          1      0.026985571946976594       0.016733020905257898
        de        1615          2       0.02013941714157449       0.012488102243002648
        er        1494          3      0.018630519634372934        0.01155251907700468
        en        1459          4      0.018194061677744386       0.011281895847170556
        ar        1418          5       0.01768278235712237       0.010964880063650583
        an        1297          6      0.016173884849920814       0.010029296897652614
        re        1282          7       0.01598683143993715       0.009913315513437989
        el        1271          8      0.015849658939282463       0.009828262498347264
        la        1271          9      0.015849658939282463       0.009828262498347264
        ra        1212         10       0.01511391552668005       0.009372069053769742
        al        1176         11      0.014664987342719258       0.009093713731654643
        ta        1123         12      0.014004065294110312       0.008683912840762972
        co        1108         13      0.013817011884126647       0.008567931456548347
        ca        1057         14       0.01318103029018219       0.008173594750218624
        at         893         15       0.01113591300769413       0.006905531616138732
        on         892         16      0.011123442780361885       0.006897799523857757
        nt         889         17      0.011086032098365154       0.006874603247014832
        na         866         18      0.010799216869723535       0.006696765124552409
        qu         821         19      0.010238056639772543       0.006348820971908535
        or         802         20      0.010001122320459903       0.006201911218570011
        te         750         21        0.0093526704991832       0.005799842419959313
        st         737         22      0.009190557543864025       0.005699325220306639
        ue         734         23      0.009153146861867292       0.005676128943463714
        in         723         24      0.009015974361212604        0.00559107592837299
        pe         715         25       0.00891621254255465        0.00552921919012519
        ma         703         26      0.008766569814567719       0.005436434082753491
        ll         702         27      0.008754099587235475       0.005428701990472516
        le         674         28      0.008404933221932635       0.005212203406605217
        ri         661         29       0.00824282026661346       0.005111686206952543
        se         638         30      0.007956005037971843       0.004933848084490119
        me         621         31       0.00774401117332369       0.004802402515713545
        ia         617         32      0.007694130263994713      0.0047714741465896444
        un         607         33       0.00756942799067227       0.004694153223779895
        ro         599         34      0.007469666172014316       0.004632296485532096
        di         595         35      0.007419785262685339       0.004601368116408195
        ol         594         36      0.007407315035353095       0.004593636024127221
        em         570         37      0.007108029579379232       0.004408065809383822
        ti         564         38     0.0070332082153857665       0.004361673255697972
        am         552         39      0.006883565487398835      0.0042688881483262725
        tt         548         40      0.006833684578069858       0.004237959779202373
        sa         548         41      0.006833684578069858       0.004237959779202373
        ci         532         42       0.00663416094075395       0.004114246302706774
        pa         527         43      0.006571809804092729       0.004075585841301898
        no         524         44      0.006534399122095995      0.0040523895644589735
        tp         516         45      0.006434637303438042       0.003990532826211174
        os         505         46     0.0062974648027833546      0.0039054798111204498
        ht         504         47      0.006284994575451111       0.003897747718839475
        as         501         48     0.0062475838934543775        0.00387455144199655
        da         491         49      0.006122881620131935      0.0037972305191868003
        it         491         50      0.006122881620131935      0.0037972305191868003
------------------------Top 50 Bigrams for Language: pt------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        es        1457          1      0.021065567845008314       0.012986793061589003
        ar        1400          2      0.020241451601243403       0.012478765332187744
        as        1219          3      0.017624521072796936       0.010865554472159188
        er        1174          4       0.01697390298561411       0.010464479948947667
        qu        1131          5      0.016352201257861635       0.010081230960101105
        de        1124          6       0.01625099399985542       0.010018841589823758
        ra        1097          7      0.015860623147545723       0.009778196875896846
        te        1092          8      0.015788332248969854       0.009733633039984455
        ue        1078          9       0.01558591773295742        0.00960885429942976
        me        1077         10      0.015571459553242246       0.009599941532247282
        ma        1053         11      0.015224463240078074       0.009386035119867804
        ta        1033         12      0.014935299645774598        0.00920777977621824
        co         986         13      0.014255765199161425       0.008788879718641765
        ca         930         14       0.01344610713511169       0.008289764756422985
        do         882         15      0.012752114508783344       0.007861951931664031
        da         878         16      0.012694281789922648       0.007826300862934118
        na         869         17      0.012564158172486083       0.007746085958291815
        or         864         18      0.012491867273910214       0.007701522122379423
        os         835         19      0.012072580062170173       0.007443051874087555
        to         834         20         0.012058121882455       0.007434139106905077
        an         812         21      0.011740041928721174       0.007238058228890556
        en         800         22      0.011566543772139087       0.007131105022700818
        em         789         23      0.011407503795272176       0.007033064583693557
        ha         785         24       0.01134967107641148       0.006997413514963645
        ao         779         25      0.011262921998120437       0.006943936911868775
        st         757         26      0.010944842044386612      0.0067478560338542545
        se         726         27      0.010496638473216222        0.00647156025119743
        in         703         28      0.010164100339767224       0.006266566606000432
        nt         661         29      0.009556856791729922       0.005892230384336347
        re         648         30      0.009368900455432662        0.00577636441096413
        ou         630         31      0.009108653220559532       0.005615934601679522
        so         594         32      0.008588158750813273       0.005295074983110306
        sa         582         33      0.008414660594231186       0.005188121776920567
        nh         578         34       0.00835682787537049       0.005152470708190655
        ss         560         35       0.00809658064049736      0.0049920408989060465
        pa         558         36      0.008067664281067014       0.004974215364541091
        al         555         37      0.008024289741921492       0.004947477062993656
        is         551         38      0.007966457023060796       0.004911825994263743
        ad         547         39        0.0079086243042001        0.00487617492553383
        om         542         40      0.007836333405624231       0.004831611089621439
        am         530         41      0.007662835249042145         0.0047246578834317
        ho         523         42      0.007561627991035928       0.004662268513154353
        ei         503         43      0.007272464396732452       0.004484013169504789
        el         494         44      0.007142340779295887       0.004403798264862485
        ia         486         45      0.007026675341574496      0.0043324961274026595
        po         485         46      0.007012217161859322       0.004323583360220181
        mo         485         47      0.007012217161859322       0.004323583360220181
        ir         458         48      0.006621846309549628       0.004082938646293269
        ri         454         49      0.006564013590688932       0.004047287577563357
        ro         451         50      0.006520639051543411       0.004020549276015922
------------------------Top 50 Bigrams for Language: en------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        in         906          1       0.02230373452155289        0.01018965740214904
        th         705          2      0.017355555008493145       0.007929287533666578
        er         634          3      0.015607690603382487      0.0071308484258941675
        an         624          4      0.015361512518155634       0.007018392213531856
        he         553          5      0.013613648113044977       0.006219953105759445
        on         543          6      0.013367470027818124       0.006107496893397134
        ou         540          7      0.013293616602250067        0.00607376002968844
        co         535          8       0.01317052755963664       0.006017531923507285
        st         520          9      0.012801260431796361       0.005848847604963818
        re         519         10      0.012776642623273677       0.005837601983727586
        tt         451         11      0.011102631643731075       0.005072899739663869
        ht         437         12      0.010757982324413481       0.004915461042356632
        ng         415         13      0.010216390536914404       0.004668057375159547
        me         412         14      0.010142537111346347       0.004634320511450854
        be         392         15      0.009650180940892641       0.004409408086726231
        it         380         16      0.009354767238620419      0.0042744606318914575
        ll         366         17      0.009010117919302823       0.004117021934584222
        ar         364         18      0.008960882302257453       0.004094530692111759
        at         362         19      0.008911646685212082       0.004072039449639297
        ti         362         20      0.008911646685212082       0.004072039449639297
        ea         359         21      0.008837793259644027       0.004038302585930603
        tp         359         22      0.008837793259644027       0.004038302585930603
        al         354         23        0.0087147042170306       0.003982074479749448
        or         354         24        0.0087147042170306       0.003982074479749448
        is         354         25        0.0087147042170306       0.003982074479749448
        ve         351         26      0.008640850791462543      0.0039483376160407545
        yo         351         27      0.008640850791462543      0.0039483376160407545
        se         345         28      0.008493143940326433      0.0038808638886233676
        ha         342         29      0.008419290514758376       0.003847127024914674
        le         340         30      0.008370054897713006       0.003824635782442212
        nd         335         31       0.00824696585509958       0.003768407676261056
        en         332         32      0.008173112429531523      0.0037346708125523625
        lo         322         33       0.00792693434430467       0.003622214600190051
        el         320         34      0.007877698727259299       0.003599723357717589
        ee         315         35      0.007754609684645873      0.0035434952515364334
        us         314         36      0.007729991876123187       0.003532249630300202
        es         309         37      0.007606902833509761      0.0034760215241190465
        as         309         38      0.007606902833509761      0.0034760215241190465
        ne         308         39      0.007582285024987076       0.003464775902882815
        to         301         40      0.007409960365328278      0.0033860565542291974
        li         292         41      0.007188400088624111       0.003284845963103117
        te         269         42      0.006622190492602349      0.0030261966746698006
        la         265         43      0.006523719258511607      0.0029812141897248763
        ca         251         44      0.006179069939194013        0.00282377549241764
        ie         246         45     0.0060559808965805866       0.002767547386236484
        om         239         46       0.00588365623692179       0.002688828037582866
        hi         231         47      0.005686713768740307       0.002598863067693017
        ma         229         48      0.005637478151694936      0.0025763718252205547
        no         227         49      0.005588242534649565      0.0025538805827480925
        oo         219         50      0.005391300066468083      0.0024639156128582434
------------------------Top 50 Bigrams for Language: es------------------------------
    Bigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
        en        7830          1      0.022486301448542842       0.019698741409898655
        es        7485          2      0.021495525714220073       0.018830800286999197
        de        6650          3      0.019097561255786703        0.01673013119244544
        ue        6484          4      0.018620840177822704        0.01631251314490541
        er        6167          5      0.017710475227734827       0.015515013620386202
        as        6085          6      0.017474986502475504        0.01530872036798691
        ar        5794          7      0.016639288709177167         0.0145766308991065
        an        5401          8      0.015510665916166014       0.013587932750412335
        ra        5225          9      0.015005226700975267       0.013145156989165076
        la        5216         10      0.014979380377471195       0.013122515046828568
        co        5033         11      0.014453838466221726       0.012662128885986248
        os        4956         12      0.014232708809575776       0.012468414490440572
        qu        4795         13      0.013770346800225151       0.012063375299754158
        ta        4538         14      0.013032290673497754       0.011416822057478331
        no        4192         15       0.01203864312545231       0.010546365163208152
        el        4075         16      0.011702640919899372       0.010252019912833553
        te        4074         17      0.011699769106176696       0.010249504141462829
        al        4007         18      0.011507357586757493       0.010080947459624385
        re        3993         19      0.011467152194640047        0.01004572666043426
        on        3960         20      0.011372382341791783         0.0099627062052004
        na        3754         21      0.010780788714920796       0.009444457302831449
        or        3720         22      0.010683147048349856       0.009358921076226866
        ja        3694         23      0.010608479891560314       0.009293511020588065
        do        3643         24      0.010462017391703904       0.009165206680681189
        me        3608         25       0.01036150391141029       0.009077154682705882
        ma        3555         26      0.010209297784108532        0.00894381880005756
        to        3374         27      0.009689499500304411       0.008488464181956685
        lo        3355         28      0.009634935039573593       0.008440664525912947
        ia        3231         29      0.009278830137961932       0.008128708875943289
        st        3187         30      0.009152470334164244       0.008018014935631474
        ie        3125         31      0.008974417883358414       0.007862037110646643
        ca        3016         32      0.008661390187586873        0.00758781803123783
        ro        2902         33      0.008334003423201957         0.0073010200949754
        nt        2891         34      0.008302413472252535       0.007273346609897447
        aj        2863         35      0.008222002688017644         0.0072029050115172
        da        2799         36      0.008038206609766464      0.0070418956437909245
        un        2646         37     0.0075988191101972365       0.006656982624070296
        ad        2599         38      0.007463843865231526      0.0065387413696463125
        pa        2552         39      0.007328868620265815       0.006420500115222328
        ri        2493         40      0.007159431610628008      0.0062720696043496674
        si        2491         41      0.007153687983182659       0.006267038061608221
        se        2486         42      0.007139328914569285       0.006254459204754606
        le        2379         43      0.006832044846243094       0.005985271668087239
        di        2350         44      0.006748762248285527        0.00591231429833627
        in        2336         45      0.006708556856168082       0.005877093499146146
        sa        2314         46      0.006645376954269238        0.00582174652899024
        mo        2260         47      0.006490299013244805       0.005685894874971194
        mi        2220         48      0.006375426464337817       0.005585264020142271
        po        2175         49      0.006246194846817456       0.005472054308459734
        ha        2149         50      0.006171527690027914       0.005406644252820934
